month,day,hour,description,lamax,laeq
12,16,5,MP08bis - Vrijthof,42.72241666666667,40.982861111111106
12,16,6,MP 01: Naamsestraat 35  Maxim,46.583,44.06744444444444
12,16,6,MP 02: Naamsestraat 57 Xior,50.32069444444444,48.06872222222222
12,16,6,MP 03: Naamsestraat 62 Taste,52.43775,50.79338888888889
12,16,6,MP 04: His & Hears,52.931749999999994,51.65491666666667
12,16,6,MP 05: Calvariekapel KU Leuven,47.980072262367976,46.35291828793774
12,16,6,MP 06: Parkstraat 2 La Filosovia,49.39025,47.51466666666666
12,16,6,MP 07: Naamsestraat 81,48.558055555555555,47.00980555555555
12,16,6,MP08bis - Vrijthof,43.803916666666666,41.89388888888889
12,16,7,MP 01: Naamsestraat 35  Maxim,50.56372222222222,48.98997222222222
12,16,7,MP 02: Naamsestraat 57 Xior,52.45011111111111,51.091611111111106
12,16,7,MP 03: Naamsestraat 62 Taste,57.116749999999996,55.923500000000004
12,16,7,MP 04: His & Hears,60.47619444444444,59.378527777777784
12,16,7,MP 05: Calvariekapel KU Leuven,55.10483333333333,53.804833333333335
12,16,7,MP 06: Parkstraat 2 La Filosovia,54.3412940849764,52.964732018883645
12,16,7,MP 07: Naamsestraat 81,56.02447222222222,54.14344444444444
12,16,7,MP08bis - Vrijthof,45.70252777777778,44.352888888888884
12,16,8,MP 01: Naamsestraat 35  Maxim,54.705499999999994,53.03277777777778
12,16,8,MP 02: Naamsestraat 57 Xior,55.871694444444444,54.32488888888889
12,16,8,MP 03: Naamsestraat 62 Taste,59.07977777777778,57.77038888888889
12,16,8,MP 04: His & Hears,61.04877777777778,59.66361111111111
12,16,8,MP 05: Calvariekapel KU Leuven,59.422138888888895,57.97269444444445
12,16,8,MP 06: Parkstraat 2 La Filosovia,59.02380555555556,57.69672222222223
12,16,8,MP 07: Naamsestraat 81,59.409388888888884,58.00613888888889
12,16,8,MP08bis - Vrijthof,45.52155555555556,43.877361111111114
12,16,9,MP 01: Naamsestraat 35  Maxim,56.572833333333335,54.52755555555556
12,16,9,MP 02: Naamsestraat 57 Xior,55.82475,54.32688888888889
12,16,9,MP 03: Naamsestraat 62 Taste,57.66986111111111,56.42975
12,16,9,MP 04: His & Hears,59.20422222222223,57.89727777777778
12,16,9,MP 05: Calvariekapel KU Leuven,59.099444444444444,57.629444444444445
12,16,9,MP 06: Parkstraat 2 La Filosovia,58.704918032786885,57.35959988885802
