month,day,description,lamax,laeq
3,4,MP 01: Naamsestraat 35  Maxim,57.61172569444444,55.32693171296297
3,4,MP 02: Naamsestraat 57 Xior,55.872655092592595,53.795180555555554
3,4,MP 03: Naamsestraat 62 Taste,56.72992592592592,54.717162037037035
3,4,MP 05: Calvariekapel KU Leuven,55.7137987708191,53.20735540920612
3,4,MP 06: Parkstraat 2 La Filosovia,55.18444310698041,52.95114295304344
3,4,MP 07: Naamsestraat 81,54.13610300925926,52.17600578703704
3,5,MP 01: Naamsestraat 35  Maxim,54.16506944444444,51.759574074074074
3,5,MP 02: Naamsestraat 57 Xior,52.24593518518518,50.2131724537037
3,5,MP 03: Naamsestraat 62 Taste,54.22394212962963,52.373642361111116
3,5,MP 05: Calvariekapel KU Leuven,52.04966955636061,49.720812740888206
3,5,MP 06: Parkstraat 2 La Filosovia,51.15882455064177,48.994883161074526
3,5,MP 07: Naamsestraat 81,49.44200578703703,47.879167824074074
3,6,MP 01: Naamsestraat 35  Maxim,51.92619127536199,49.31741686825079
3,6,MP 02: Naamsestraat 57 Xior,50.57892129629629,48.57760532407407
3,6,MP 03: Naamsestraat 62 Taste,52.912974837380496,51.181005347346
3,6,MP 05: Calvariekapel KU Leuven,50.17082605122744,47.910488547321144
3,6,MP 06: Parkstraat 2 La Filosovia,49.82172131621894,47.71440988900334
3,6,MP 07: Naamsestraat 81,47.929594907407406,46.452004629629634
3,7,MP 01: Naamsestraat 35  Maxim,55.47902832880908,52.95310549639219
3,7,MP 02: Naamsestraat 57 Xior,52.2271381502622,50.31920042693396
3,7,MP 03: Naamsestraat 62 Taste,54.50536441933692,52.76668711798481
3,7,MP 05: Calvariekapel KU Leuven,52.7497268012595,50.721987868123726
3,7,MP 06: Parkstraat 2 La Filosovia,52.73180181744516,50.82266597210164
3,7,MP 07: Naamsestraat 81,51.908269571357465,50.40929169222933
3,8,MP 01: Naamsestraat 35  Maxim,58.657270675386314,56.33705422767521
3,8,MP 02: Naamsestraat 57 Xior,54.20675578703704,52.18379976851852
3,8,MP 03: Naamsestraat 62 Taste,55.58291279890738,53.65449084469548
3,8,MP 05: Calvariekapel KU Leuven,54.10255095545087,51.634757346728556
3,8,MP 06: Parkstraat 2 La Filosovia,54.70983333333333,52.45955902777778
3,8,MP 07: Naamsestraat 81,53.269682519473605,51.38827764210234
3,9,MP 01: Naamsestraat 35  Maxim,59.52784722222222,57.32146759259259
3,9,MP 02: Naamsestraat 57 Xior,54.834210648148144,52.82595138888889
3,9,MP 03: Naamsestraat 62 Taste,56.13101424785009,54.19557286542668
3,9,MP 05: Calvariekapel KU Leuven,54.52164583333334,52.04149768518519
3,9,MP 06: Parkstraat 2 La Filosovia,54.39020694923493,52.132360702794045
3,9,MP 07: Naamsestraat 81,52.348662037037045,50.54595486111111
3,10,MP 01: Naamsestraat 35  Maxim,60.25746478547206,58.03558606002384
3,10,MP 02: Naamsestraat 57 Xior,55.78658796296296,53.73807407407407
3,10,MP 03: Naamsestraat 62 Taste,56.86534450630216,54.84146228544312
3,10,MP 05: Calvariekapel KU Leuven,55.70495381837542,53.2836061019931
3,10,MP 06: Parkstraat 2 La Filosovia,56.16758101851852,54.099392361111114
3,10,MP 07: Naamsestraat 81,56.061431712962964,54.32966782407407
3,11,MP 01: Naamsestraat 35  Maxim,60.18782856283059,57.989627194759194
3,11,MP 02: Naamsestraat 57 Xior,56.821588304743386,54.79077134986226
3,11,MP 03: Naamsestraat 62 Taste,57.06194907407408,55.11269791666666
3,11,MP 05: Calvariekapel KU Leuven,56.35930276970799,53.98192224447042
3,11,MP 06: Parkstraat 2 La Filosovia,56.539802083333335,54.42484837962964
3,11,MP 07: Naamsestraat 81,56.64802254655725,54.808696859917355
3,12,MP 01: Naamsestraat 35  Maxim,53.852307870370375,51.427298611111105
3,12,MP 02: Naamsestraat 57 Xior,52.481849537037036,50.42242013888888
3,12,MP 03: Naamsestraat 62 Taste,54.00412852000602,52.17158184701212
3,12,MP 05: Calvariekapel KU Leuven,52.44298082153728,50.020768758897674
3,12,MP 06: Parkstraat 2 La Filosovia,51.88801967592593,49.66092013888889
3,12,MP 07: Naamsestraat 81,50.28227893518519,48.48505787037037
3,13,MP 01: Naamsestraat 35  Maxim,51.807192129629634,49.34132407407408
3,13,MP 02: Naamsestraat 57 Xior,51.62982523148148,49.56768634259259
3,13,MP 03: Naamsestraat 62 Taste,53.441408564814814,51.68487962962963
3,13,MP 05: Calvariekapel KU Leuven,51.3109849537037,49.1109386574074
3,13,MP 06: Parkstraat 2 La Filosovia,51.041025462962956,48.971472222222225
3,13,MP 07: Naamsestraat 81,49.406618132154314,47.73958842116228
3,14,MP 01: Naamsestraat 35  Maxim,57.19762962962963,54.82253703703704
3,14,MP 02: Naamsestraat 57 Xior,52.95486574074074,51.03357754629629
3,14,MP 03: Naamsestraat 62 Taste,54.64942534057107,52.87471961481036
3,14,MP 05: Calvariekapel KU Leuven,53.33081712962962,51.25388078703703
3,14,MP 06: Parkstraat 2 La Filosovia,54.72550839708793,52.76067547078091
3,14,MP 07: Naamsestraat 81,55.650310206727326,53.97714193115263
3,15,MP 01: Naamsestraat 35  Maxim,59.54441537998565,57.17441028727517
3,15,MP 02: Naamsestraat 57 Xior,54.84174652777778,52.85280787037036
3,15,MP 03: Naamsestraat 62 Taste,55.864968749999996,53.980652777777784
3,15,MP 05: Calvariekapel KU Leuven,54.6522262989155,52.35320663433605
3,15,MP 06: Parkstraat 2 La Filosovia,55.839635875415226,53.72136251576986
3,15,MP 07: Naamsestraat 81,56.2577101586824,54.3690841329182
3,16,MP 01: Naamsestraat 35  Maxim,59.93352353615204,57.592927001469924
3,16,MP 02: Naamsestraat 57 Xior,55.539785879629626,53.51915856481481
3,16,MP 03: Naamsestraat 62 Taste,56.55366150071181,54.59568976492783
3,16,MP 05: Calvariekapel KU Leuven,55.47120023148148,53.091886574074074
3,16,MP 06: Parkstraat 2 La Filosovia,56.23561805555556,54.060918981481485
3,16,MP 07: Naamsestraat 81,55.922443287037034,54.004895833333336
3,17,MP 01: Naamsestraat 35  Maxim,60.50452777777778,58.26715162037038
3,17,MP 02: Naamsestraat 57 Xior,56.32434084122318,54.28680062038473
3,17,MP 03: Naamsestraat 62 Taste,57.096509259259264,55.08227893518519
3,17,MP 05: Calvariekapel KU Leuven,57.00214009583556,54.652214171624344
3,17,MP 06: Parkstraat 2 La Filosovia,57.748037593027696,55.614040671767036
3,17,MP 07: Naamsestraat 81,57.13324652777778,55.130855324074076
3,18,MP 01: Naamsestraat 35  Maxim,60.42049177481159,58.22954584920296
3,18,MP 02: Naamsestraat 57 Xior,56.81584863288033,54.8269881693793
3,18,MP 03: Naamsestraat 62 Taste,57.17265066098673,55.23955502048943
3,18,MP 05: Calvariekapel KU Leuven,56.53917019749485,54.151004838971076
3,18,MP 06: Parkstraat 2 La Filosovia,56.95746321358695,54.778985146508916
3,18,MP 07: Naamsestraat 81,56.96923379675183,55.00752543785523
3,19,MP 01: Naamsestraat 35  Maxim,53.67745575758979,51.42582437296728
3,19,MP 02: Naamsestraat 57 Xior,53.38615740740741,51.29068402777777
3,19,MP 03: Naamsestraat 62 Taste,54.36980173381637,52.546897533536274
3,19,MP 05: Calvariekapel KU Leuven,53.002439843053736,50.606988506811426
3,19,MP 06: Parkstraat 2 La Filosovia,52.57570089130686,50.39874985530733
3,19,MP 07: Naamsestraat 81,51.06939975462395,49.32247852959559
3,20,MP 01: Naamsestraat 35  Maxim,51.72746990740741,49.310293981481486
3,20,MP 02: Naamsestraat 57 Xior,50.971590277777786,48.996156250000006
3,20,MP 03: Naamsestraat 62 Taste,53.08468616534913,51.36095093693214
3,20,MP 05: Calvariekapel KU Leuven,50.57069328703704,48.39533101851852
3,20,MP 06: Parkstraat 2 La Filosovia,50.20309613648464,48.14042338943031
3,20,MP 07: Naamsestraat 81,49.263076388888884,47.49458449074074
3,21,MP 01: Naamsestraat 35  Maxim,55.102609953703706,52.59378356481482
3,21,MP 02: Naamsestraat 57 Xior,52.39586921296296,50.487971064814815
